City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
443,fonyod,46.7555,17.5795,290.25,58,100,7.93,HU,1710073652
444,key largo,25.0865,-80.4473,298.7,71,79,5.48,US,1710073407
445,borogontsy,62.6683,131.1683,245.07,100,93,0.67,RU,1710073652
446,luderitz,-26.6481,15.1594,297.77,58,8,4.77,NA,1710073652
447,hadibu,12.65,54.0333,301.17,70,41,1.67,YE,1710073652
448,wuhai,39.6647,106.8122,280.46,26,44,2.76,CN,1710073652
449,sungailiat,-1.85,106.1333,299.66,88,100,3.58,ID,1710073652
450,codrington,-38.2667,141.9667,292.74,80,99,2.27,AU,1710073653
451,makubetsu,45.3714,141.8211,273.05,65,95,4.92,JP,1710073653
452,marck,50.949,1.9433,283.69,74,100,3.72,FR,1710073653
453,lockwood,45.8191,-108.4149,278.09,35,0,4.12,US,1710073653
454,markaz-e woluswali-ye achin,34.1258,70.7078,291.46,30,99,0.85,AF,1710073653
455,placer,39.0666,-120.7677,278.06,88,100,0.45,US,1710073653
456,yulinshi,38.2906,109.7494,279.52,41,70,4.13,CN,1710073653
457,ladario,-19.0047,-57.6017,303.31,74,0,1.03,BR,1710073653
458,mangrol,21.1167,70.1167,300.2,42,36,7.62,IN,1710073653
459,sitangkai,4.6628,119.3928,301.18,74,96,4.21,PH,1710073653
460,alice springs,-23.7,133.8833,302.9,61,75,4.12,AU,1710073653
461,salalah,17.0151,54.0924,303.2,70,40,7.2,OM,1710073653
462,barcelos,41.5388,-8.6151,284.73,86,88,6.66,PT,1710073653
463,heyuan,23.7333,114.6833,287.63,97,100,1.05,CN,1710073654
464,chos malal,-37.3781,-70.2709,290.67,22,39,2.26,AR,1710073654
465,puerto baquerizo moreno,-0.9,-89.6,299.16,83,12,3.38,EC,1710073654
466,palikir - national government center,6.9248,158.1611,300.17,78,96,10.67,FM,1710073654
467,brokopondo,4.75,-55.1667,299.44,77,68,3.13,SR,1710073654
468,plettenberg bay,-34.0527,23.3716,295.81,66,4,3.4,ZA,1710073654
469,tres isletas,-26.3407,-60.4321,298.51,92,100,2.96,AR,1710073654
470,uglegorsk,49.0833,142.0333,264.59,82,45,2.78,RU,1710073654
471,feijo,-8.1642,-70.3536,297.02,93,100,0.61,BR,1710073654
472,el calafate,-50.3408,-72.2768,279.34,86,98,3.81,AR,1710073654
473,buga,3.9009,-76.2978,294.99,90,98,0.67,CO,1710073654
474,kismayo,-0.3582,42.5454,303.81,60,1,6.86,SO,1710073654
475,multan,30.1956,71.4753,297.09,38,75,4.12,PK,1710073466
476,tsengel,49.4783,100.8894,260.75,84,2,2.55,MN,1710073654
477,pimenta bueno,-11.6725,-61.1936,299.15,86,85,0.62,BR,1710073510
478,turtas,58.9417,69.1325,262.43,91,100,2.19,RU,1710073654
479,altamira,-3.2033,-52.2064,300.2,89,100,1.03,BR,1710073654
480,tofol,5.3248,163.0078,300.99,78,100,9.97,FM,1710073654
481,bima,-8.4667,118.7167,298.47,95,100,2.47,ID,1710073655
482,daru,-9.0763,143.2092,300.43,86,100,2.56,PG,1710073655
483,veselyy,47.0934,40.7422,280.24,49,92,5.27,RU,1710073655
484,amursk,50.2261,136.8994,257.38,98,100,1.53,RU,1710073655
485,jolo,6.05,121.0167,298.92,82,100,1.65,PH,1710073655
486,vila franca do campo,37.7167,-25.4333,291.42,99,87,2.9,PT,1710073655
487,huarmey,-10.0681,-78.1522,295.89,83,83,3.42,PE,1710073655
488,truth or consequences,33.1284,-107.2528,276.28,69,0,2.06,US,1710073655
489,gisborne,-38.6533,178.0042,285.79,88,81,3.65,NZ,1710073655
490,virginia,37.5481,-77.4467,281.58,87,0,4.12,US,1710073655
491,tame,6.461,-71.73,300.74,51,79,1.04,CO,1710073655
492,kuta,-8.7233,115.1723,300.12,88,75,10.29,ID,1710073655
493,yelizovo,53.1873,158.3805,271.37,74,75,4.02,RU,1710073462
494,morozovsk,48.3539,41.8261,274.34,72,79,1.69,RU,1710073655
495,marsabit,2.3284,37.9899,302.49,32,18,6.28,KE,1710073655
496,kapa'a,22.0752,-159.319,294.87,78,20,9.26,US,1710073655
